Flags,IntendedVsync,Vsync,OldestInputEvent,NewestInputEvent,HandleInputStart,AnimationStart,PerformTraversalsStart,DrawStart,SyncQueued,SyncStart,IssueDrawCommandsStart,SwapBuffers,FrameCompleted,DequeueBufferDuration,QueueBufferDuration
0,593795684084886,593795684084886,9223372036854775807,0,593795684719281,593795684759512,593795685210666,593795685556050,593795685632589,593795686142666,593795686510320,593795688731589,593795691719319,773000,865000,
0,593795700821733,593795700821733,9223372036854775807,0,593795701465781,593795701509127,593795701953166,593795702313089,593795702383819,593795702905819,593795703275973,593795705507589,593795707444935,740000,552000,
0,593795717558568,593795717558568,9223372036854775807,0,593795718120396,593795718160935,593795718607281,593795718936204,593795719021435,593795719500550,593795719878781,593795721927089,593795724302666,514000,718000,
0,593795734295346,593795734295346,9223372036854775807,0,593795734992973,593795735036396,593795735656704,593795736019050,593795736088396,593795736630781,593795737026743,593795739648281,593795743057935,472000,1531000,
0,593796487905073,593796487905073,9223372036854775807,0,593796502816434,593796502849819,593796502856357,593796518940934,593796520414550,593796520740819,593796522995627,593796527823819,593796532276511,430000,1295000,
0,593796521392346,593796521392346,9223372036854775807,0,593796524205011,593796524232511,593796524355588,593796524508050,593796524834242,593796532594819,593796532899665,593796535521319,593796538142704,558000,765000,
0,593796538135685,593796538135685,9223372036854775807,0,593796544275165,593796544282242,593796544464627,593796544635242,593796544664857,593796545459319,593796545707473,593796548081280,593796549857088,462000,507000,
0,593796554878697,593796554878697,9223372036854775807,0,593796555366896,593796555402819,593796555599165,593796555785550,593796555816857,593796556067280,593796556387511,593796558694203,593796562188973,460000,849000,
0,593796571621918,593796571621918,9223372036854775807,0,593796572121088,593796572153203,593796572344165,593796572523780,593796572555050,593796572856088,593796573137203,593796575193011,593796577278242,422000,804000,
0,593796588365373,593796588365373,9223372036854775807,0,593796589041127,593796589072857,593796589289819,593796589478088,593796589508088,593796589728703,593796590200434,593796592589665,593796594702396,616000,641000,
0,593796605108727,593796605108727,9223372036854775807,0,593796605823050,593796605862434,593796606195357,593796606476819,593796606533280,593796606996203,593796607266934,593796609664934,593796611999627,430000,853000,
0,593796621852007,593796621852007,9223372036854775807,0,593796622619934,593796622670511,593796623005165,593796623291434,593796623351703,593796623592819,593796623853588,593796626239819,593796628198434,547000,467000,
0,593796638595374,593796638595374,9223372036854775807,0,593796639181011,593796639218088,593796639545242,593796639816550,593796639871165,593796640240203,593796640490280,593796643277357,593796645377319,601000,452000,
0,593796655338837,593796655338837,9223372036854775807,0,593796655977473,593796656014434,593796656345319,593796656618165,593796656672127,593796657017396,593796657258396,593796659456319,593796661672396,464000,619000,
0,593796672082321,593796672082321,9223372036854775807,0,593796672805203,593796672843357,593796673169550,593796673446088,593796673501203,593796673891434,593796674165165,593796677387973,593796679672473,598000,644000,
0,593796688825464,593796688825464,9223372036854775807,0,593796689401126,593796689437703,593796689789626,593796690201088,593796690260357,593796690595011,593796690853319,593796693536857,593796695635165,541000,579000,
0,593796705567681,593796705567681,9223372036854775807,0,593796706149973,593796706181973,593796706634319,593796706874819,593796706921165,593796707161050,593796707384203,593796709482588,593796711638165,329000,453000,
0,593796722310945,593796722310945,9223372036854775807,0,593796723162973,593796723195857,593796723548434,593796723849626,593796723898011,593796724325126,593796724534742,593796726287319,593796727940780,364000,474000,
0,593796739053156,593796739053156,9223372036854775807,0,593796739621934,593796739654742,593796739928588,593796740253665,593796740301050,593796740612165,593796740838896,593796743179973,593796744992703,453000,647000,
0,593796755796688,593796755796688,9223372036854775807,0,593796756445550,593796756478434,593796756759165,593796756991473,593796757038165,593796757234473,593796757600550,593796759365050,593796761061242,378000,381000,
0,593796772540304,593796772540304,9223372036854775807,0,593796773194357,593796773225511,593796773506280,593796773736242,593796773782665,593796773990549,593796774196165,593796776088242,593796777786973,323000,513000,
0,593796789283974,593796789283974,9223372036854775807,0,593796789734511,593796789767319,593796790143280,593796790392011,593796790439049,593796790826896,593796791040319,593796793187857,593796795161049,517000,675000,
0,593796806027663,593796806027663,9223372036854775807,0,593796806566819,593796806601511,593796806906703,593796807150088,593796807196357,593796807622780,593796807856973,593796809725780,593796811766126,327000,506000,
0,593796822771030,593796822771030,9223372036854775807,0,593796823279511,593796823315357,593796823609819,593796823851549,593796823900665,593796824720088,593796824940126,593796827356742,593796828986434,415000,457000,
0,593796839514366,593796839514366,9223372036854775807,0,593796842303626,593796842340934,593796842740973,593796842976126,593796843018549,593796843227396,593796843445549,593796845865049,593796848584126,400000,435000,
0,593796856257238,593796873206390,9223372036854775807,0,593796876530665,593796876561780,593796876759549,593796876948472,593796876983165,593796877286242,593796877528549,593796879612703,593796881748011,412000,508000,
0,593796889744090,593796889744090,9223372036854775807,0,593796890335972,593796890370934,593796890607357,593796890807626,593796890840703,593796891204434,593796891492588,593796894025857,593796896034588,426000,555000,
0,593796906487643,593796906487643,9223372036854775807,0,593796907218472,593796907248934,593796907463280,593796907649549,593796907680088,593796907917703,593796908176703,593796909990665,593796912028126,342000,608000,
0,593796923231524,593796923231524,9223372036854775807,0,593796923867434,593796923893319,593796924136396,593796924278165,593796924309126,593796924664857,593796924922126,593796927145742,593796929055165,535000,476000,
1,593797057179389,593797074128541,9223372036854775807,0,593797090483780,593797090510011,593797090749472,593797103357434,593797103564472,593797103785165,593797104024280,593797105851780,593797107418126,280000,399000,
0,593797107409201,593797107409201,9223372036854775807,0,593797111224318,593797111228934,593797111415472,593797111533511,593797111604665,593797112920780,593797113161511,593797117481588,593797118876549,468000,379000,
0,593797124152931,593797124152931,9223372036854775807,0,593797124588703,593797124613434,593797124818626,593797124958895,593797125029088,593797125549972,593797125783357,593797127561434,593797129140703,337000,387000,
0,593797140896251,593797140896251,9223372036854775807,0,593797141437742,593797141488011,593797141722895,593797141891280,593797141966049,593797142341242,593797142598088,593797144826165,593797146480818,550000,427000,
0,593797157639998,593797157639998,9223372036854775807,0,593797158222011,593797158252857,593797158498665,593797158647626,593797158725895,593797159101280,593797159474357,593797161717165,593797163502934,657000,455000,
